event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
ARRIVAL,,,2023-05-27 06:10:00,36,,,true,36,07434,2023-05-27 05:34:00,false,AUTOMATIC,LZW,,09,false,514S831W26,false,EARLY,54606070,09,07434,true,,,ARRIVAL,07431,
ARRIVAL,,,2023-05-27 04:34:00,60,,,false,1,00000,2023-05-27 05:34:00,false,AUTOMATIC,MMT,,09,false,514M43C127,false,LATE,54606070,09,70091,true,,,ARRIVAL,70075,
ARRIVAL,2023-05-27 05:34:00,,2023-05-27 05:33:30,1,,,true,1,69215,2023-05-27 05:34:00,false,AUTOMATIC,, 3,29,false,692C01M527,false,LATE,12259320,29,69215,true,DOWN,DOWN,ARRIVAL,69217,3
ARRIVAL,2023-05-27 05:34:00,,2023-05-27 05:33:30,1,,,true,1,86074,2023-05-27 05:34:00,false,AUTOMATIC,, 1,84,false,861L12M527,false,LATE,24623104,84,86074,true,UP,UP,ARRIVAL,86071,
DEPARTURE,2023-05-27 05:27:00,,2023-05-27 05:27:00,6,,,true,3,40304,2023-05-27 05:33:00,false,AUTOMATIC,,,71,false,405J80M527,false,LATE,25450000,71,40304,true,UP,UP,DEPARTURE,40305,
ARRIVAL,,,2023-05-27 05:42:00,8,,,false,8,00000,2023-05-27 05:34:00,false,AUTOMATIC,,,23,false,365A01M527,false,EARLY,12974820,23,36170,true,,,ARRIVAL,36056,
ARRIVAL,,,2023-05-27 05:35:00,2,,,false,2,00000,2023-05-27 05:33:00,false,AUTOMATIC,,,30,false,883C93M527,false,EARLY,22216001,30,52088,true,,,ARRIVAL,52078,
DEPARTURE,,,2023-05-27 05:32:30,0,,,true,7,02115,2023-05-27 05:32:00,false,MANUAL,,,60,false,022B12M527,false,ON TIME,23537003,60,02115,false,,,DEPARTURE,03001,
ARRIVAL,2023-05-27 05:32:00,,2023-05-27 05:32:00,1,,,true,1,78717,2023-05-27 05:33:00,false,AUTOMATIC,, 2,71,false,772Y01M527,false,LATE,25442000,71,78717,true,DOWN,DOWN,ARRIVAL,78719,
DEPARTURE,2023-05-27 05:31:00,,2023-05-27 05:31:30,0,,,true,7,81915,2023-05-27 05:31:00,false,AUTOMATIC,, 2,25,false,832M01M527,false,ON TIME,25467001,25,81915,true,UP,UP,DEPARTURE,81913,2
ARRIVAL,2023-05-27 05:35:00,,2023-05-27 05:34:30,1,,,true,2,44302,2023-05-27 05:33:00,false,AUTOMATIC,, 2,28,false,552L49M527,false,EARLY,22277000,28,44302,true,DOWN,DOWN,ARRIVAL,44301,
ARRIVAL,,,2023-05-27 05:25:30,9,,,true,1,32568,2023-05-27 05:34:00,false,AUTOMATIC,,,27,false,321O04M527,false,LATE,22180014,27,32568,true,,,ARRIVAL,32581,
DEPARTURE,2023-05-27 05:31:00,,2023-05-27 05:31:00,1,,,true,2,74237,2023-05-27 05:32:00,false,AUTOMATIC,,13,25,false,745W01M527,false,LATE,25510006,25,74237,true,UP,UP,DEPARTURE,74233,
DEPARTURE,,,2023-05-27 05:33:30,1,,,true,3,74023,2023-05-27 05:32:00,false,AUTOMATIC,, 3,33,false,745R27M527,false,EARLY,21381008,33,74023,true,DOWN,DOWN,DEPARTURE,74233,D
ARRIVAL,2023-05-27 05:35:00,,2023-05-27 05:34:30,1,,,true,1,73778,2023-05-27 05:35:00,false,AUTOMATIC,, 2,33,false,739U13M527,false,LATE,21381202,33,73778,true,UP,UP,ARRIVAL,73784,
DEPARTURE,2023-05-27 05:33:00,,2023-05-27 05:33:30,1,,,true,4,54238,2023-05-27 05:32:00,false,AUTOMATIC,, 6,88,false,542R001527,false,EARLY,21726000,88,54238,true,DOWN,DOWN,DEPARTURE,54103,1
DEPARTURE,,,2023-05-27 06:34:00,62,,420C02C427,true,12,11012,2023-05-27 05:32:00,false,AUTOMATIC,MU2, 2,97,false,426C02C427,false,EARLY,95998090,97,11012,true,DOWN,DOWN,DEPARTURE,09335,
ARRIVAL,,,,0,,,false,,,2023-05-27 05:34:00,false,AUTOMATIC,,,60,false,035K24M527,true,OFF ROUTE,23587003,60,03226,,,,ARRIVAL,,
DEPARTURE,,,2023-05-27 05:34:00,1,,,false,1,00000,2023-05-27 05:33:00,false,AUTOMATIC,, 2,88,false,639O11M527,false,EARLY,22728000,88,87244,true,DOWN,DOWN,DEPARTURE,87245,
